PdfType: central
Format: lhagrid1
---
5.000000e-06 6.469340e-06 8.370580e-06 1.083050e-05 1.401320e-05 1.813100e-05 2.345850e-05 3.035090e-05 3.926760e-05 5.080240e-05 6.572330e-05 8.502270e-05 1.099830e-04 1.422610e-04 1.839950e-04 2.379440e-04 3.076670e-04 3.977440e-04 5.140700e-04 6.642160e-04 8.578820e-04 1.107470e-03 1.428790e-03 1.847940e-03 2.379570e-03 3.060350e-03 3.929800e-03 5.036510e-03 6.439470e-03 8.208290e-03 1.042490e-02 1.318030e-02 1.657460e-02 2.071300e-02 2.570030e-02 3.166080e-02 3.860010e-02 4.666620e-02 5.587900e-02 6.626100e-02 7.781050e-02 9.050080e-02 1.042750e-01 1.191680e-01 1.349350e-01 1.516740e-01 1.692700e-01 1.876580e-01 2.067780e-01 2.265720e-01 2.469860e-01 2.679650e-01 2.894600e-01 3.112310e-01 3.336210e-01 3.564040e-01 3.795630e-01 4.031000e-01 4.269440e-01 4.510730e-01 4.754690e-01 5.001130e-01 5.249900e-01 5.500860e-01 5.753850e-01 6.009230e-01 6.264810e-01 6.523530e-01 6.783700e-01 7.045280e-01 7.308230e-01 7.572480e-01 7.837670e-01 8.105000e-01 8.372600e-01 8.641380e-01 8.911230e-01 9.182080e-01 9.453860e-01 9.726560e-01 1.000000e+00 
1.300001e+00 1.494260e+00 1.736730e+00 2.042900e+00 2.434360e+00 2.941690e+00 3.608810e+00 4.500000e+00 5.866040e+00 7.828770e+00 1.071920e+01 1.509180e+01 2.190300e+01 3.285630e+01 5.109270e+01 8.262520e+01 1.394400e+02 2.465070e+02 4.583780e+02 9.005800e+02 1.878640e+03 4.183110e+03 1.000000e+04 
-5 -4 -3 -2 -1 1 2 3 4 5 21
4.66189403e-310 2.30167831e-04 4.45759397e-01 1.00824826e+00 9.65250667e-01 9.65736888e-01 1.00905770e+00 4.45759397e-01 2.30167831e-04 0.00000000e+00 1.87474326e-02
4.66189403e-310 6.78218241e-02 5.10127918e-01 1.06644733e+00 1.02264966e+00 1.02319956e+00 1.06735661e+00 5.10127918e-01 6.78218241e-02 0.00000000e+00 2.07699811e+00
4.66189403e-310 1.64645122e-01 6.03562324e-01 1.15390439e+00 1.10932090e+00 1.10993063e+00 1.15492049e+00 6.03562324e-01 1.64645122e-01 0.00000000e+00 5.00034895e+00
4.66189403e-310 2.94923183e-01 7.30560597e-01 1.27508737e+00 1.22973540e+00 1.23041360e+00 1.27621616e+00 7.30560597e-01 2.94923183e-01 0.00000000e+00 8.97362514e+00
4.66189403e-310 4.63674361e-01 8.96100324e-01 1.43496871e+00 1.38885900e+00 1.38960871e+00 1.43621123e+00 8.96100324e-01 4.63674361e-01 0.00000000e+00 1.41951130e+01
4.66189403e-310 6.76478203e-01 1.10576189e+00 1.63910295e+00 1.59224241e+00 1.59306137e+00 1.64046958e+00 1.10576189e+00 6.76478203e-01 0.00000000e+00 2.08787248e+01
4.66189403e-310 9.39266413e-01 1.36546297e+00 1.89340163e+00 1.84580840e+00 1.84669751e+00 1.89489591e+00 1.36546297e+00 9.39266413e-01 7.27569733e-07 2.92439992e+01
4.66189403e-310 1.25858633e+00 1.68175300e+00 2.20439660e+00 2.15607488e+00 2.15704405e+00 2.20602628e+00 1.68175300e+00 1.25858633e+00 0.00000000e+00 3.95665940e+01
4.66189403e-310 1.68712916e+00 2.10701258e+00 2.62396174e+00 2.57484440e+00 2.57590555e+00 2.62573976e+00 2.10701258e+00 1.68712916e+00 3.56766729e-01 5.27443062e+01
4.66189403e-310 2.20423524e+00 2.62086504e+00 3.13218514e+00 3.08228332e+00 3.08343457e+00 3.13412406e+00 2.62086504e+00 2.20423524e+00 8.88775167e-01 6.86679548e+01
4.66189403e-310 2.82240146e+00 3.23580042e+00 3.74155949e+00 3.69087367e+00 3.69212870e+00 3.74366825e+00 3.23580042e+00 2.82240146e+00 1.52168920e+00 8.78505037e+01
4.66189403e-310 3.55514460e+00 3.96533796e+00 4.46558987e+00 4.41412719e+00 4.41548221e+00 4.46787575e+00 3.96533796e+00 3.55514460e+00 2.26903781e+00 1.10677963e+02
4.66189403e-310 4.41704681e+00 4.82403930e+00 5.31882816e+00 5.26659278e+00 5.26805737e+00 5.32135661e+00 4.82403930e+00 4.41704681e+00 3.14539243e+00 1.37549783e+02
4.66189403e-310 5.42367729e+00 5.82750136e+00 6.31693168e+00 6.26393431e+00 6.26547532e+00 6.31961670e+00 5.82750136e+00 5.42367729e+00 4.16634528e+00 1.68862646e+02
4.66189403e-310 6.59131099e+00 6.99199491e+00 7.47604548e+00 7.42228835e+00 7.42394755e+00 7.47892596e+00 6.99199491e+00 6.59131099e+00 5.34815294e+00 2.05010055e+02
4.66189403e-310 7.93762667e+00 8.33516550e+00 8.81396660e+00 8.75943032e+00 8.76127850e+00 8.81706747e+00 8.33516550e+00 7.93762667e+00 6.70854097e+00 2.46388824e+02
4.66189403e-310 9.48067230e+00 9.87515012e+00 1.03487112e+01 1.02933524e+01 1.02953527e+01 1.03520026e+01 9.87515012e+00 9.48067230e+00 8.26549955e+00 2.93377045e+02
4.66189403e-310 1.12391593e+01 1.16304749e+01 1.20988573e+01 1.20428075e+01 1.20448934e+01 1.21024063e+01 1.16304749e+01 1.12391593e+01 1.00377332e+01 3.46324854e+02
4.66189403e-310 1.32328443e+01 1.36211357e+01 1.40843542e+01 1.40275549e+01 1.40298015e+01 1.40882015e+01 1.36211357e+01 1.32328443e+01 1.20451513e+01 4.05590938e+02
